[欧美私人订制] 最懂你的欧美推荐 每日更新35首,欧美,介绍：收藏专属于你的欧美日推每天和喜欢的欧美音乐不期而遇,172万,118600800,35,15913
《漫游记》第十一集BGM（歌曲part）,欧美-爵士-朋克,介绍：这里是将浙江卫视《漫游记》第十一集BGM中单独歌曲的部分做了整理！纯音乐部分放在另外的纯音乐歌单里！喜欢全部音乐的也可以收藏完整版（歌曲+纯音乐）！,32,368,35,评论
玩游戏必备BGM,欧美-流行-游戏,介绍：游戏里面发挥失常，就是因为没有选好战歌,10,11040,97,2
我的世界起床战争超燃歌曲（不定时更新）,游戏-欧美-兴奋,介绍：此歌单为公开我的世界起床战争爆燃歌单，建议配合清澈人声使用。,13,393,44,1
反向BASS 又弹又炸！,酒吧-电子-欧美,介绍：GOKI DJs 现场都会用到的歌 值得收听！,137,389,160,2
全网通用『关羽』砍人 推人,游戏-00后-欧美,介绍：国服关羽日常做视频，推人歌单，关羽会变强听了。一个推10个都不是问题输出全靠推打人全靠塔干就完了奥利给,1731,88559,35,19
NCS - 精选Top100丨打动人心的史诗旋律,电子-欧美-感动,介绍：欢 迎 回 来这大概是我精选得最用心的一次，从不下15个NCS歌单选的，每首歌都有它的亮点旋律。我大NCS我怎能懈怠，NCS一生推。这是我心中的the best...............第七首是NCS出品的歌的混音。最后，建议开随机播放( •̥́ ˍ •̀ू ),62,368,100,9
『燃烧困倦』提神必备 |疯狂刷新你的兴奋值,欧美-运动-兴奋,介绍：【精选】节奏/律动感/单曲循环 总有一首能将你点燃【建议随机播放】,11,452,218,评论
I Lost My Body 我失去了身体,欧美-影视原声,介绍：2019年CharlotteJob最喜欢的动画电影— I Lost My Body,24,376,22,评论
2011欧美音乐回顾,欧美-流行,无,54,334,44,1
今天你运动了吗？,欧美-运动,介绍：其实就是跑步时候用的而已,26,347,133,评论
2020全面抖腿指南，快进来康康,欧美-电子-流行,介绍：2020年全面建成抖腿云村~收录本年度发行的优质电音和节奏感强的流行歌曲~ 更新速度不保证最快 但保证数量够听喔在家呆着也要记得抖一抖腿！年更歌单(2020.1.1-2020.12.31)1000首封顶！,1803,79332,302,76
WWAFAWDWG INSPO,欧美,介绍：何去何从 灵感歌单,140,368,47,7
《新西游记》表志勋的人生歌单,欧美-放松-旅行,介绍：他是表志勋✨这里整理了所有他提到的歌和他参与制作的自作词曲是《新西游记》的乌拉圭是Block b的忙内P.O也是在爱中长大，想成为可以带给别人爱的人的善良表志✨提到宋旻浩《Alarm》网易云下架可以在其他地方听✨希望这个歌单可以带给你哪怕短暂的放松就好了,59,330,42,1
【节奏控】盘点刷作业必备良曲〔英文版〕,欧美-学习-流行,介绍：戴上耳机 抛开一切 与世隔绝 置身于音乐里相信自己 加油学习 为了更好的未来封面:戳爷爱辽,15,313,47,6
人在牢中坐，歌从天上来,欧美-说唱,介绍：6ix9ine，又名Tekashi69，本名丹尼尔·赫南德斯（Daniel Hernandez），1996年5月8日出生于美国纽约布鲁克林区布什维克，美国说唱歌手。,10,305,45,1
《神奇动物在哪里1＋2》,欧美-影视原声,介绍：《神奇动物在哪里》是由美国华纳兄弟影片公司、英国盛日影业公司联合出品的奇幻冒险电影，由英国导演大卫·叶茨执导，埃迪·雷德梅恩、凯瑟琳·沃特斯顿、艾莉森·苏朵儿、丹·福格勒等联合主演。该片讲述了神奇动物学家纽特·斯卡曼德离开霍格沃兹魔法学校后，为了寻找和保护神奇动物踏入纽约所发生的一段惊心动魄的冒险故事。该片于2016年11月18日在美国上映，2016年11月25日在中国上映。,34,301,69,3
V神精选 高能预警,电子-流行-欧美,介绍：来自荷兰格罗宁根的电音组合Vicetone由出生于同样出生于92的Ruben Den Boer和Victor Pool组成，深受国人的喜爱精选单曲，铁粉必备！,462,330,31,评论
良医 The Good Doctor 第三季【更新中】,欧美,介绍：插曲,81,338,21,7
小众响指风丨跟着节奏沉迷音乐世界,欧美-流行,介绍：响指节奏响起你是不是也打起了响指呢这张歌单收录一些小众响指良曲跟着节奏希望喜欢持续发现好听的歌(接受推荐）,1123,8562,26,评论
鸭箱底的好电音,欧美-流行-电子,介绍：【节奏控系列】精品节奏感欧美音乐(持续更新哦~）如果前奏不够吸引人，那么副歌部分一定很赞跑步＋游戏＋抄作业必备曲库歌单多以优质旋律，魅力嗓音，劲爆鼓点为主,60,317,59,3
纯英文/杂 偏小众 神爱世人,欧美-流行-轻音乐,介绍：自己平时各种地方“偶遇”到的宝藏歌曲。分类较杂，没什么特别种类。不喜勿喷，谢谢。不定期更新/,27,305,124,6
AO3 2.29 Forever Archive of Our Own,欧美,介绍：Art happend not in isolation. But in community. 艺术创作不是孤岛，它诞生于群体之中。2.29，AO3无法访问；3.13，雨果企划关闭。,27,250,47,32
【GTA5】电台《明镜公园之音》,欧美-电子-游戏,介绍：《侠盗猎车手5》电台《明镜公园之音》歌曲合集，该电台由Twin Shadow主持，主要播放合成器流行、新浪潮、独立电子风格歌曲，已按照游戏内播放顺序排列。————————————————————————注：歌单内部分歌曲可能并非游戏内使用版本，存在差异。游戏内第25首网易云缺失资源，歌手歌名：Mitzi - Truly Alive。游戏内第38首网易云缺失资源，歌手歌名：Scenic - Mesmerised。游戏内第40首网易云缺失资源，歌手歌名：Age of Consent - Heartbreak。,228,7680,37,7
盖·里奇 | 绅士们 The Gentlemen,欧美-影视原声,介绍：盖·英伦最风骚导演·挖坑不填·鸽子精·里奇！别的不说，老盖的音乐品味一如既往的好！虽然盖·里奇不值得，但我依然爱他！————————————————————————————————Guy Ritchie 2020新片《绅士们》（"The Gentleman"）电影插曲大全！欢迎大家跟着音乐一起走进伦敦地下犯罪世界！===以下曲目根据影片中出现顺序排列==="Cumberland Gap" - David Rawlings"Sunshine of Your Love" - Cream"Vitamin C" - Can"Count Your Blessings" - Mattiel"The Snake" - Johnny Rivers"Boxes of Bush" - Bugzy Malone""In Every Dream Home a Heartache" - Roxy Music"Oh Shit" - The Pharcyde"Shimmy Shimmy Ya" - El Michels Affair"Brothers on the Slide" - Cymande"Free Me" - Paul Jones"That's Entertainment" - The Jam————————————————————————————————开场Mickey发表了一番“丛林之王”论，紧接着响起了"Cumberland Gap"；随后伴随着"Vitamin C" 影片介绍了Mickey的老婆Rosalind。Mickey的藏身之地被扫荡时，配乐是"Boxes of Bush"，与此同时本曲的演唱者Bugzy Malone作为"Ernie"一角出现在了片中的YouTube视频上。在一段追逐戏以及随后的枪战中，配乐是"Shimmy Shimmy Ya"。在高潮戏中，"Free Me"则很好地捕捉了Mickey一角的情绪。最后电影以"That's Entertainment"结尾，完整了全片叙事。,16,389,12,评论
s1mple直播歌单,欧美-说唱-游戏,介绍：y u bully me u fuking 871ch持续更新,23,250,197,评论
Amplify：Women's History Month,欧美-流行,介绍：霉姐的“妇女历史月”歌单，我只是个搬运工，以下援引原文：At the end of Women's History Month，I wanted to make a playlist of songs and artists who made music that became the soundtrack to my life for a time，a phase，endless rides on the school bus，getting my license and driving alone，screaming into a hairbrush and deciding ultimately that I wanted to make music too.I see these women as my faraway mentors， who taught me how music can really make someone's life easier and more magical.These female professor guided me melodically ， lyrically， spiritually and emotionally without even knowing it.And though I haven't met most of these women，I will forever be grateful to them.,41,263,51,10
『电音』王绎龙听了后直呼内行,电子-欧美-学习,介绍：不抖腿算我输，抖了腿算你输。写作业听，必得满分。妈妈听了流泪，爸爸听了兴奋。老板听了给你升职加薪，妹子听了倒追，兄弟听了直呼你为爸爸,14,246,308,9
王者五杀必备,欧美-电子-快乐,介绍：在我的BGM里，没人能阻止我五杀!,23,254,31,1
Alan Walker【不定时更新】,欧美-舞曲-电子,介绍：喜欢Alan Walker的兄弟们 满足你们喜欢的收藏歌单 给点关注 谢谢,168,7222,51,3
春日限定☆星辰大海里闪闪发光的宝藏,欧美-流行-电子,介绍：春日限定份☆让人心动的宝藏音乐吖希望你会喜欢♥持续更新~“想徒手画星河，为你装点心房”“此时已莺飞草长 爱的人正在路上我知他风雨兼程 途经日暮不赏穿越人海 只为与你相拥此刻已皓月当空 爱的人手捧星光我知他乘风破浪 去了黑暗一趟感同身受 给你救赎热望 ​​​”“我的眼眸里藏匿着世间万物但一切生灵有条不紊，沉密寡言直至某天 我遇见了你江潮开始翻涌 云涛开始奔腾花鸟开始乱鸣 无处不是你的气息连两颗恒星也发生了巨大碰撞倏然掉落熠熠光芒 映射在我的双眸”“月色下赤着脚朝你跑来的小仙女手心捧着还有些湿漉漉的珍珠眼里尽是藏不住的喜悦”,7892,235198,65,121
San Holo,欧美-电子-夜晚,介绍：He ismy favorite electronic producer.突然发现San Holo之前用过Casilofi的化名发布过作品我先慢慢听再加入个人喜欢的吧（我就说album1加入磁带的元素怎么有点lofi的感觉原来之前就是做lofi的啊哈哈）,8,271,70,1
听了能让耳朵怀孕的英文歌曲,欧美-放松-榜单,介绍：一直都在网上很火的欧美歌曲，也是放松时最好的选择，喜欢听就收藏咯，持续更新~~,20,259,100,2
有一种精神叫曼巴精神,运动-思念-欧美,介绍：科比·比恩·布莱恩特（Kobe Bean Bryant，1978年8月23日—2020年1月26日），出生于美国宾夕法尼亚州费城，前美国职业篮球运动员，司职得分后卫/小前锋（锋卫摇摆人），绰号“黑曼巴”/“小飞侠”。科比的职业生涯随湖人队5夺NBA总冠军（2000年-2002年、2009年-2010年）荣膺1次常规赛MVP（2007-08赛季）2次总决赛MVP（2009年-2010年）4次全明星赛MVP（2002年、2007年、2009年与2011年）18次入选NBA全明星阵容15次入选NBA最佳阵容12次入选NBA最佳防守阵容,78,225,24,2
「电音」好听欧美女声精选 50首,欧美-电子-治愈,介绍：50首欧美电音精选，不求数量只求精致！电音:即电子音乐，是使用电子乐器以及电子音乐技术来制作的音乐；而创作或表演这类音乐的音乐家则称为电子音乐家。一般而言，可使用电子机械技术与使用电子技术制作的声音来区别。使用电子机械制造声音的设备有电传簧风琴、汉门式电风琴与电吉他；而纯粹的电子声音制造设备则有特雷门、声音合成器与电脑。,178,6937,50,2
极致诱惑.,欧美-电子-华语,介绍：生如羁旅 难免跌宕.,13,233,193,2
拽人的情书,欧美-流行-爵士,介绍：3.30 拽人之表白歌单 （mirrr和朴载范的两首没资源）brightwin,75,326,24,1
【炸BOOM】,欧美-电子,介绍：BOOM———spring to our feet,113,208,40,评论
十字军之王2/王国风云2/Crusader Kings II,欧美-游戏,介绍：1丶更新至 Pagan Fury - Warrior Queen2丶无重复 注：原声、维京金属、全覆式金属和管弦乐在网易云中存在多个,20,204,89,评论
喜歡的歌要靜靜聽,治愈-欧美-轻音乐,无,13,217,14,评论
Rich Brian七哥（网恋选他！）,欧美-快乐-说唱,介绍：能把自己的颜值放在地上使劲摩擦的我只服七哥…网恋请选他！！,15,204,49,评论
【Ashnikko】伦敦嘻哈摇滚女孩,欧美-金属-另类/独立,介绍：Ashnikko歌曲收录.,6,229,18,1
BOSE 2020最新歌曲,欧美-摇滚-治愈,介绍：自己去聆听 音乐带来的 喜悦 激情 和忧伤,10,187,79,1
洗脑➕摇摆 那些欧美rapper的代表作,欧美-说唱-酒吧,介绍：包含的曲风众多 Old school、 trap 、boom bap、lay back、pop和rnb等如今嘻哈盛行，这个歌单包含了try rocky Kanye Tyler wiz等大牌明星的代表作,12,191,58,评论
宝藏歌单<欧美歌，电音歌>来了不后悔系列,电子-欧美,介绍：试着往下听，想走的时候，不要忘了它是宝藏。,60,183,109,评论
拾叁先生推荐提高抵抗力战胜疫情歌单,欧美-电子-舞曲,介绍：在这个特别的时期，特别是限制出行的情况下拾叁先生知道大家憋坏了！不过在家也要蹦迪提高抵抗力！特为你准备了主题云蹦迪歌单，让我们谨遵指示老实在家防疫，我们疫情后SIR.TEEN见！,287,5332,49,7
开口直接俘获耳朵的女声/ 持续更新,流行-欧美,介绍：『欧美女声，开口俘获内心』★注：歌单还没建立太长时间，接下来的时间会不断更新和完善的，会有给多的优质音乐资源经过挑选不断加入！__________________________________—————————————————————★注：【歌单仍在更新中】/★注：【3.29】新加入歌曲Just For A Moment-Gryffin/lselin SolheimCall me Maybe-Carly Rae JepsenRun to you-Summer Was Fun/Meron RyanLullaby-Sigala/Paloma FaithReady to Love you-Hedegaard//★注: 【3.30】新加入歌曲On My Way-TobtokIf U Love Me-Guy Gabriel/Leah MarleneCarry Me-Kygo/Julia MichaelsRed-Taylor SwiftBlank Space-Blank Space//★注：【3.31】Come Back Down-MediksMemory-NABI/A7t1CusTurn Back Time-Rich Edward/EmelineThe Last Time-X-Change/nicciPlanez-(Neon Tribe Remix)-Neon Tribe/Katelyen//★注：【4.01】A Little BIT Broken-SpritelyIf I Die Young-The Band PerrySummertrain-Greyson ChanceHeartless-YVRTIRED-楚晴Jasmine Sokko,17,172,70,1
2019年度DJ播放次数最高曲目TOP40,欧美-电子-榜单,介绍：2019年度最受DJ欢迎曲目TOP40，数据来源于电音网站1001Tracklists，2019年是电子音乐标志性的一年，我们见证了像是Fisher这类偏地下风格艺人的崛起，位列榜单首位的就是Fisher的热门曲目"Losing It"，渔人凭借其魔性的Tech House霸占各大DJset列表并空降格莱美和百大DJ，可谓是2019年最成功的电音制作人！,722,5084,40,9
高考推迟、战歌不止！2020.7.7冲！,流行-华语-欧美,介绍：进来先看这里！首先送给所有考生一段话：乾坤未定，你我皆是黑马当你累的时候想想世界还有这么多美好的地方我还没有去过那么多好吃的食物我还没有吃过还没有来得及交给父母最后的答卷还没有问问自己到底想要什么的时候你不就不该停下笔这些就是我们奋斗的原因我们不是为了别人，是为了自己我们只是想成为天上那颗最亮的星星然后关于这个歌单包含纯音乐、欧美、华语励志歌曲可以私信推歌给我,263,5160,151,47
浩室音乐集，回溯灵魂深处,欧美-电子,介绍：House优质精选曲目,1495,144130,100,9
Finding Hope,欧美,介绍：來自Finding Hope,25,163,21,评论
欧美电音：提神醒脑的神器,欧美-电子,介绍：电音:即电子音乐.是使用电子乐器以及电子音乐技术来制作的音乐.而创作或表演这类音乐的音乐家则称为电子音乐家一般而言，可使用电子机械技术与使用电子技术制作的声音来区别。使用电子机械制造声音的设备有电传簧风琴、汉门式电风琴与电吉他.而纯粹的电子声音制造设备则有特雷门、声音合成器与电脑。,7,173,42,2
人 声 采 样 - 「持更」,另类/独立-后摇-欧美,介绍：It's human to lie. Most of the time we can't even be honest with ourselves. 撒谎是人之本性，在大多数时间里我们甚至都不能对自己诚实。—芥川龙之介《罗生门》,333,4887,154,评论
Bob Marley与雷鬼乐进化,欧美-雷鬼-怀旧,介绍：2020年迎来Reggae之父Bob Marley 75周年诞辰。鲍勃·马利（Bob Marley，1945年2月6日—1981年5月11日），出生于牙买加圣安妮，牙买加唱作歌手，Reggae的鼻祖。Bob Marley的一生用音乐传递温暖，包容，大爱与力量。他所引领的乐风已成为一种音乐精神，而Bob Marley更是牙买加的民族英雄。这份精神与音乐传承至今已有近60年历史，每个时代都有不同的Reggae音乐人继续用这样的精神传递与影响时代进步的文化。歌单中收录了Bob Marley早期经典作品以及各时期Reggae音乐人代表作。希望这份歌单能够继续影响世代年轻人，理解″ONE LOVE，ONE HEART，ONE AIM，ONE DESTINY″背后意义。Marley小时候听到的牙买加音乐全是用葫芦和竹子演奏出来的，所以在他成年之后，他依然酷爱坐在离家不远的岩石上几个小时一动不动地用一只木吉他诉说他的过去、目前和将来。马利创作时总喜欢把孩子们留在屋里，他毫不羞涩地告诉他遇到的每一个人，′我的歌就是唱给孩子们听的′。虽然身为一名世界超级巨星，但只有在孩子中间，他才是真正的自己。他的体内深藏着一份谦虚，他的歌曲永远在谈论我们现实中不完美的、不温柔的、不公正的东西。于是，他也就唱进了我们生活的结构″。1960年，Marley开始了演唱生涯，1964年组建了“Wailing Wailers“乐队。1971年，乐队推出了专辑《Catch A Fire》。1981年5月11日，Marley离开我们。” 随后精选专辑《Legend》截止到2011年是Reggae圈内领跑专辑，全球销量过两千万。1990年，Marley生日被定为牙买加的法 定 假 日。2010年，获选近50年“世界五大指标音乐人‘’其代表单曲作包括：Legend、One Love、No Woman No Cry等等,347,31427,31,5
硬汉柔情｜徜徉于耳际的乡村情调,欧美-乡村,介绍：美国乡村温柔得和沉静的群山一样，乡村音乐是一种不那么个性张扬的音乐。婉转悠扬的曲调中隐藏着使人平和的力量，常常你不觉得自己在听，但是猛然间你发觉烦躁的心已经平静下来，对未来和莫名的远方生出一种向往的时候，这个时候就是乡村音乐召唤我们本心的时候，这时，自由将与我们的心贴的很近很近。,1812,31183,50,2
CalaverasVacant Lines,欧美-治愈-怀旧,介绍：我一脚踏空，我就要飞起来了,16,175,18,评论
[电音入坑.走路带风],电子-欧美-酒吧,介绍：全部都是我在做dj时候.热播的单曲.,8,150,43,评论
Kodak Black,欧美-说唱-酒吧,介绍：监狱天才可达鸭,3,170,67,评论
宝藏欧美+电子,欧美-电子,介绍：前十五首都是评论数较高的单曲（比较流行），如果想要寻找宝藏的话请耐下心慢慢往下挖嗷！（建议都听完呢☺️）,14,150,210,1
你也会累，对不对?,欧美-电子-轻音乐,介绍：你很累了……别装作没事的样子骗自己……,13,150,31,评论
钢琴伴奏| 戳爷钢琴伴奏【合集】,欧美-流行-轻音乐,介绍：你要的都在这里♡戳爷Troye Sivan的最全钢琴伴奏合集！写(抄)作业时听超合适！你值得拥有！会时不时更新 记得来看呀,21,161,41,3
Lauv x LANY,欧美-流行-治愈,介绍：a collab playlist with some of my friends， changing every two weeks. this week: my and LANY’s fave collab tracks,2226,26706,18,89
【SF9】李达渊推荐（持更）,欧美-韩语,介绍：SF9李达渊冰放&官咖推荐歌曲,23,145,107,评论
胡宾果Bingo女艺术家微博BGM,欧美-韩语-清晨,介绍：管好你自己 开心每一天 人这一辈子，活一天老一天，开心也是一天，不开心也是一天，所以大家一定要每天都要开心，如果不开心的话就看@胡宾果Bingo 的视频吧~~~——女艺术家琴瑟合一 好的音乐、有质感的音乐它都是有生命的，每个音符跳动出来的时候，它就像一把锋利的刀刺向你心底最深的骚，让你所有的哀愁和伤感就像鲜红的血一样滚滚大江东流去哈~——女艺术家(Ps. 歌单是按照Bingo和女明星两个微博号的视频排序做的，发现前后期视频BGM会有重叠，Bingo微博前期一些BGM 没有识别出来，欢迎大家补充哈~ 这个歌单也会随着微博更新及时补充的。最后祝大家每天开开心心 大吉大利 Winner Winner Chicken Dinner02-20/ 过完冬季02-18/ 외톨이야 (孤独的人)02-16/ 睫毛弯弯02-15/ 爱情三十六计02-15/ 甜甜的02-13/ Vacation02-13/ 爱河(DJ)02-13/ Ride It(Regard Remix)02-13/ All Time Low(BOXINLION Remix)02-10/ SENTIMENTAL02-04/ WEAR THE CROWN02-01/ Not Going Home01-28/ Ride It (Regard Remix)01-24/ Starboy01-21/ I Love You So01-18/ Yesterday01-15/ Old Threads01-13/ Vacation01-12/ 马德里不思议01-10/ Say My Name01-09/ Señorita01-08/ 分手快乐01-06/ 无法原谅01-06/ 银翼ヴァージョン01-04/ I'm Callin'01-04/ Johnny It's the Last Time01-01/ Simple12-30/ This Feeling12-28/ Lalala12-26/ Superstar12-26/ 男孩12-23/ checking things off of a to-do list early in the morning12-21/ 花手摇 (DJ热搜版)12-21/ Emozioni Libere-Per Te,12,154,66,2
bbrightvc,韩语-欧美-浪漫,无,40,177,85,评论
【滚石杂志】2010年代最佳100单曲,欧美-流行-说唱,介绍：2019.12.05创建美国Rolling Stone《滚石》杂志评选的10年代最好的100首歌曲缺第86首 Fifth Harmony - Work From Home，用伴奏代替歌单封面：Kanye West,771,24577,100,44
Xing教育第二季 英剧SEⅩ education 2,欧美-影视原声-清新,介绍：美剧Sex Education 2影视原声,1915,24560,56,55
甜甜的纯音乐❤️,轻音乐-欧美-治愈,介绍：给了年轻人八条建议:1.谈恋爱首先要找你爱的，如果结婚就要找爱你的2.千万别输在”等"这个字身上3.永远留住30%的神秘4.不要低估任何一个人5.别把没教养当做有气场6.谈恋爱可以穷，结婚不可以7.谈恋爱一定要找我8.牢记第7条，前6条没什么卵用,23,136,62,评论
打游戏必备,游戏-欧美-电子,无,10,163,128,评论
Jagjaguwar！,摇滚-民谣-欧美,介绍：【Jagjaguwar精选集】收录综评80+的专辑以及其它优秀艺人精选folk rock/chamber pop/folktronica/etc.,88,134,150,12
全世界逼你长大 迪士尼守护你内心童话,欧美-影视原声-经典,介绍：动画界一直有“迪士尼出品，必属精品”的说法，从《玩具总动员》到最近热议的《冰雪奇缘2》，从勇敢的巴斯光年到独立的艾莎，迪士尼留下了太多的经典，它营造的童话梦境一直陪伴着我们的成长，带给我们温暖和感动。即便身处在纷繁的世界里，却始终有迪士尼来守护你内心的童真。本歌单按时间次序包含了以下经典动画电影原声，带你走进迪士尼的梦幻世界：2019《冰雪奇缘2》2018《无敌破坏王2》2017《寻梦环游记》2016《海洋奇缘》2016《疯狂动物城》2015《头脑特工队》2014《超能陆战队》2013《冰雪奇缘》2012《无敌破坏王》2012《勇敢传说》2010《魔发奇缘》2009《飞屋环游记》2008《机器人总动员》2003《海底总动员》1998《花木兰》1995《玩具总动员》,1093,22838,35,19
Jason Todd,欧美,介绍：我觉得比较契合Jason Todd的歌曲，希望有同好能够一起听一下。,27,136,81,评论
良医（The good doctor）插曲合辑,欧美-影视原声,无,37,136,160,4
当下潮流,欧美-流行-说唱,介绍：请随机播放——hiphop个人收录,14,137,214,4
打游戏必备（细细品味）,欧美-电子-ACG,介绍：听着最嗨的歌，过着最颓废的生活,13,132,166,评论
格莱美2020最佳流行 Lizzo,欧美-流行-经典,介绍：第62届格莱美完整获奖名单揭晓！她的歌曲Boys获得了《时代》杂志“2018年十大最佳歌曲”、Pitchfork“2018年Top100最佳歌曲”和Paste“2018年Top50最佳歌曲”好成绩。随后她不仅被《滚石》、《纽约时报》、《V》和《Glamour》等杂志专题报道，她还登上过《Teen Vogue》和《Pass The Mic Music Issue》等杂志。,14,3295,106,评论
电音 | 经典50首,欧美-电子-舞曲,介绍：刚刚入坑电音时，我们肯定听说过这些火遍edm圈内外的电音。（如fade）这个歌单还有一些不是太火 但是经典的作品。（如Electro House 2012）这些作品值得我们铭记欢迎评论区补充哦！,3,134,50,评论
橙光游戏《太受欢迎了》BGM,欧美-英伦,介绍：不是很全，会尽力寻找，在线表白wuli本川呐我也是辛苦一首首的找，请不要复制我的好吗,15,139,36,评论
猜歌星球歌单（持续更新,欧美-日语-韩语,介绍：边玩边记 都是英文韩文歌较多少量日文,6,125,872,评论
蹦迪良曲，时代在召唤,电子-兴奋-欧美,介绍：年纪轻轻怎么可以不蹦迪?歌单已收录96首劲爆嗨曲，不停更第一次做歌单，有些紧张，各路大神求给意见，让我慢慢学习，谢谢。外加电台歌曲:Boomerang（HINA Bootleg）Mask off-remix(土埋半截身)因为是电台所以无法添加,6,119,96,评论
B站不会剪辑的果子君剪辑所用BGM～实时更新,欧美-运动-放松,介绍：本人是毕业生，有时更新不及时，望见谅,18,121,68,评论
TYBRIDtakeover,欧美-电子-舞曲,介绍：这是我精心挑选的一些歌曲，当然也有很多我经常演出会播放的Briddim Dubstep风格的歌曲，希望你们会喜欢!! ❤❤,18,119,43,3
语文英语拖堂提神醒脑必备,欧美-说唱-学习,介绍：cover:D smoke拖堂不要紧，打开它打开它，kindle songdle都不怕。,7,121,616,2
FRENCHCORE 法核 2020⚡全年收录,欧美-电子-舞曲,介绍：Frenchcore 法核# 出现在法国20世纪90年代后期到2000年早期，盛行于欧洲，属Hardcore子类 ，法核有着强烈的反拍bass，高速的鼓点节奏，bpm通常在180—240bpm之间或者更高， 包括其分支 Euphoric 。且分早期Frenchcore和主流Frenchcore 。风格起源:techno hardcore， Musique minimaliste/ industrielle， techno， New beat 。演出活动: Vive La Frenchcore ，Masters of Hardcore， Defqon.1， Nightmare Outdoor 等等。法核厂牌（部分硬核厂牌也会发行法核):Hardcore FranceThis Is FrenchcoreUGT CorePsychik Genocide / AudiogenicFrenchcore S'il Vous Plait! RecordsFrench kickz RecordsFrenchcore Worldwide RecordingsEuphoric FrenchcoreFrenchcore HeroesFast Frenchcore RecordzFrenchcore AddictFrenchcore Dossier RecordsiMD-/Frenchcore Familia RecordingsLe Bask RecordsMutante RecordsRemz RosterAudioDeadAct2Gunz RecordsIndielabelThe B.D MusicD-Fusion RecordsTyrantinum RecordsOctopus ProductionsPure Massive RecordsDead Kitty RecordsPump Corn RecordsUrban VandalismOutbreak RecordingNeurokontrolPeacock RecordsCore Rebelz RecordsSWG MusicGGM DigitalSikkdome Records,37,2917,159,8
Future House 铁桶弹性EDM,电子-欧美-金属,无,6,114,45,评论
SN'SUKI 2020年 4月门店歌单,欧美-日语-电子,无,54,154,107,评论
小王子 | 费元洪·一听就懂的音乐剧,欧美-经典,介绍：三联中读《费元洪·一听就懂的音乐剧》专栏，音乐剧《小王子》精彩歌单,29,112,95,1
叮咚！你的冬日限定份阳光请查收,欧美-流行-快乐,介绍：选曲：轻快/暖心/快乐“每天都要奔走在自己的热爱里。”——云音乐小秘书刷着云村动态时看到了小秘书发的句子，心中顿时充满只在冬天有的温馨感，这种温馨蕴含了希望，幸福感和干劲。冬季是四季之末，是对旧年的一个总结，对来年的一个期盼。可能大家会认为冬季有一种惆怅失落之感，但我认为，冬天的事物依然充满了生机与希望。冬天的瑞雪，预示着来年秋天的丰收；冬天的暖阳，温暖人心，给人以舒适和愉悦。我认为四季的阳光中冬日阳光最是舒心，冬日暖阳像个好脾气的老人，温和地抚摸一草一木，不张扬却又满溢希望！愿你如冬日的阳光一般，温暖而不炙热。晒太阳时便可听这些歌曲，它们让人身心愉快，甩掉一切烦恼(◦˙▽˙◦)在新年即将来临之际，快点甩掉2019的种种不开心，张开双手迎接慷慨的阳光与充满希望的2020吧！——2019年末,8052,432031,33,75
韩综 Heart Signal 3 ep01 BGM,欧美-韩语-日语,介绍：按每集出现顺序排列。网易云没有、未收录的详见评论。,7,116,45,2
〖Troye Sivan】歌曲钢琴版全集,欧美-流行-学习,介绍：收录了目前网易云音乐里所有的（应该是）戳爷歌曲钢琴版，其中还有Bloom美/日版的两首加曲"This This"和"Running Shoes"。,19,107,34,评论
伴着聚光灯，踏入音乐剧的世界【音乐剧】,欧美-浪漫-感动,介绍：音乐剧，早期译称为歌舞剧，是一种舞台艺术形式，结合了歌唱、对白、表演、舞蹈。通过歌曲、台词、音乐、肢体动作等的紧密结合，把故事情节以及其中所蕴含的情感表现出来。虽然音乐剧和歌剧、舞剧、话剧等舞台表演形式有相似之处，但它的独特之处在于：它对歌曲、对白、肢体动作、表演等等因素给予同样的重视。音乐剧在全世界各地都有上演，但演出最频密的地方是美国纽约市的百老汇和英国的伦敦西区。,365,14518,128,3
温温柔柔的女生就要听温温柔柔的歌,欧美-学习-放松,介绍：我想要你被全世界温柔对待实在不行我做你的全世界,13,107,98,评论
【厂牌】Blockhead Recordings,欧美-电子-舞曲,介绍：American house music label founded by Mario Cruz.,7,107,361,评论
渐进迷魂曲||Progressive Psy Trance,欧美-电子-舞曲,介绍：progressive psy trance指的是那些结合了progressive trance的psy trance，不同于psy trance追求的快节奏，progressive psy trance更倾向于追求缓慢进入迷幻氛围的过程，营造氛围能力更加强大。注:歌单里还包含有progressive goa trance，在此未进行分类。,11,112,46,1
你缺的只是一个合适的节奏,欧美-电子-R&B/Soul,介绍：发现了就收藏了呗，我会持续更新的。,13,132,100,2
虎牙十六直播歌单,日语-欧美-华语,介绍：直播歌单 虎牙直播间：275630 愿每日都能幸福,16,103,1502,评论
TheFatRat: Bass x 管弦乐的电子味激烈碰撞,欧美-电子,介绍：The best of heavy bass & EDM coupled with epic orchestra sounds!最棒的史诗管弦重低音电子乐合集在这里！欢迎收听！,522,11804,27,38
韩综Heart Singal 3 bgm（持更）,欧美-韩语,介绍：pick李佳欣小姐姐！！（希望不要被打脸）,11,101,48,1
